"type","question","A","B","C","D","E","correct"
"Multiple choice","Er","Beryllium","Mercury","Europium","Chlorine","Erbium","E"
"Multiple choice","Mo","Molybdenum","Californium","Bohrium","Antimony","Ununoctium","A"
"Multiple choice","Ce","Copernicium","Cerium","Copper","Chlorine","Cesium","B"
"Multiple choice","Li","Lithium","Lawrencium","Livermorium","Lutetium","Platinum","A"
"Multiple choice","Y","Ytterbium","Praseodymium","Beryllium","Yttrium","Dysprosium","D"
"Multiple choice","Db","Dysprosium","Dubnium","Molybdenum","Rubidium","Darmstadtium","B"
"Multiple choice","Rh","Rhodium","Rhenium","Rutherfordium","Ruthenium","Radium","A"
"Multiple choice","Ga","Germanium","Gallium","Gold","Seaborgium","Gadolinium","B"
"Multiple choice","Pm","Praseodymium","Protactinium","Potassium","Plutonium","Promethium","E"
"Multiple choice","Ba","Barium","Boron","Berkelium","Carbon","Bohrium","A"
"Multiple choice","Pa","Platinum","Potassium","Praseodymium","Palladium","Protactinium","E"
"Multiple choice","K","Darmstadtium","Potassium","Berkelium","Nickel","Krypton","B"
"Multiple choice","B","Berkelium","Bohrium","Bismuth","Barium","Boron","E"
"Multiple choice","Dy","Hydrogen","Dysprosium","Dubnium","Neodymium","Praseodymium","B"
"Multiple choice","Ti","Terbium","Thorium","Tellurium","Thallium","Titanium","E"
"Multiple choice","F","Fluorine","Fermium","Californium","Francium","Flerovium","A"
"Multiple choice","Sm","Samarium","Selenium","Strontium","Sodium","Scandium","A"
"Multiple choice","Fr","Francium","Fermium","Fluorine","Californium","Flerovium","A"
"Multiple choice","Fl","Flerovium","Sulfur","Fermium","Californium","Fluorine","A"
"Multiple choice","Ir","Iridium","Iodine","Germanium","Bohrium","Iron","A"
"Multiple choice","Cs","Cobalt","Cesium","Cadmium","Arsenic","Curium","B"
"Multiple choice","Am","Antimony","Lanthanum","Actinium","Americium","Aluminum","D"
"Multiple choice","Pr","Potassium","Protactinium","Promethium","Praseodymium","Phosphorus","D"
"Multiple choice","Ds","Scandium","Darmstadtium","Praseodymium","Dubnium","Dysprosium","B"
"Multiple choice","Hf","Hafnium","Holmium","Helium","Rutherfordium","Hassium","A"
"Multiple choice","Th","Terbium","Thulium","Technetium","Thorium","Thallium","D"
"Multiple choice","Cf","Cesium","Curium","Francium","Cerium","Californium","E"
"Multiple choice","Ta","Tungsten","Antimony","Titanium","Thallium","Tantalum","E"
"Multiple choice","As","Aluminum","Potassium","Arsenic","Astatine","Magnesium","C"
"Multiple choice","P","Plutonium","Protactinium","Palladium","Polonium","Phosphorus","E"
"Multiple choice","Md","Neodymium","Molybdenum","Rutherfordium","Dysprosium","Mendelevium","E"
"Multiple choice","Pt","Platinum","Potassium","Protactinium","Plutonium","Promethium","A"
"Multiple choice","La","Lead","Lithium","Aluminum","Lawrencium","Lanthanum","E"
"Multiple choice","Hg","Hassium","Hydrogen","Helium","Mercury","Holmium","D"
"Multiple choice","Pd","Palladium","Praseodymium","Phosphorus","Promethium","Platinum","A"
"Multiple choice","Xe","Oxygen","Manganese","Astatine","Seaborgium","Xenon","E"
"Multiple choice","Tl","Lutetium","Tantalum","Thulium","Thallium","Tellurium","D"
"Multiple choice","Ra","Lawrencium","Radium","Radon","Protactinium","Rubidium","B"
"Multiple choice","At","Astatine","Argon","Actinium","Antimony","Americium","A"
"Multiple choice","Hs","Holmium","Hydrogen","Hassium","Hafnium","Bismuth","C"
"Multiple choice","Cl","Chlorine","Silicon","Calcium","Cobalt","Californium","A"
"Multiple choice","Uut","Ununoctium","Ununtrium","Ununpentium","Lutetium","Ununseptium","B"
"Multiple choice","S","Strontium","Seaborgium","Silver","Samarium","Sulfur","E"
"Multiple choice","O","Copernicium","Ununoctium","Oxygen","Osmium","Boron","C"
"Multiple choice","Sc","Sulfur","Scandium","Seaborgium","Silicon","Sodium","B"
"Multiple choice","Ho","Hydrogen","Chromium","Hafnium","Helium","Holmium","E"
"Multiple choice","Zr","Zinc","Zirconium","Livermorium","Tellurium","Bromine","B"
"Multiple choice","Re","Roentgenium","Fermium","Rutherfordium","Ruthenium","Rhenium","E"
"Multiple choice","No","Nobelium","Neodymium","Neon","Nitrogen","Niobium","A"
"Multiple choice","Bi","Bismuth","Berkelium","Bohrium","Beryllium","Barium","A"
"Multiple choice","N","Neptunium","Neon","Nitrogen","Neodymium","Niobium","C"
"Multiple choice","Nd","Gadolinium","Dubnium","Neodymium","Vanadium","Neptunium","C"
"Multiple choice","Gd","Hydrogen","Gallium","Gadolinium","Germanium","Gold","C"
"Multiple choice","Te","Tellurium","Tungsten","Terbium","Meitnerium","Technetium","A"
"Multiple choice","Rf","Ruthenium","Rhenium","Fermium","Roentgenium","Rutherfordium","E"
"Multiple choice","Eu","Neodymium","Lawrencium","Europium","Erbium","Einsteinium","C"
"Multiple choice","Cr","Copernicium","Californium","Chromium","Cerium","Chlorine","C"
"Multiple choice","Br","Berkelium","Bohrium","Boron","Bromine","Barium","D"
"Multiple choice","Cm","Chromium","Californium","Cadmium","Curium","Copernicium","D"
"Multiple choice","Ru","Rhodium","Roentgenium","Rhenium","Radium","Ruthenium","E"
"Multiple choice","Np","Nobelium","Neptunium","Polonium","Ununpentium","Ununseptium","B"
"Multiple choice","He","Hydrogen","Chlorine","Rhenium","Rutherfordium","Helium","E"
"Multiple choice","Pb","Phosphorus","Platinum","Palladium","Lead","Plutonium","D"
"Multiple choice","Ar","Americium","Darmstadtium","Seaborgium","Argon","Arsenic","D"
"Multiple choice","Sb","Antimony","Strontium","Sulfur","Seaborgium","Sodium","A"
"Multiple choice","Lr","Tellurium","Lithium","Livermorium","Lawrencium","Flerovium","D"
"Multiple choice","Ag","Argon","Silver","Astatine","Seaborgium","Germanium","B"
"Multiple choice","W","Molybdenum","Lawrencium","Oxygen","Radium","Tungsten","E"
"Multiple choice","Mt","Rutherfordium","Plutonium","Potassium","Strontium","Meitnerium","E"
"Multiple choice","Cn","Californium","Copernicium","Carbon","Ununoctium","Chlorine","B"
"Multiple choice","Uup","Ununoctium","Promethium","Phosphorus","Ununseptium","Ununpentium","E"
"Multiple choice","Ac","Antimony","Americium","Actinium","Aluminum","Arsenic","C"
"Multiple choice","Fe","Flerovium","Iron","Rutherfordium","Fluorine","Fermium","B"
"Multiple choice","Es","Seaborgium","Silver","Cesium","Praseodymium","Einsteinium","E"
"Multiple choice","C","Chlorine","Copper","Carbon","Cadmium","Cesium","C"
"Multiple choice","Se","Silver","Arsenic","Selenium","Silicon","Seaborgium","C"
"Multiple choice","Zn","Oxygen","Zinc","Niobium","Iodine","Zirconium","B"
"Multiple choice","Sn","Tin","Selenium","Scandium","Strontium","Silicon","A"
"Multiple choice","U","Ununoctium","Ununpentium","Uranium","Ununtrium","Ununseptium","C"
"Multiple choice","Cd","Californium","Cadmium","Scandium","Cobalt","Copernicium","B"
"Multiple choice","Nb","Niobium","Neon","Nickel","Nobelium","Nitrogen","A"
"Multiple choice","Ne","Nobelium","Neptunium","Neon","Nitrogen","Nickel","C"
"Multiple choice","Mg","Seaborgium","Mercury","Mendelevium","Manganese","Magnesium","E"
"Multiple choice","Au","Gold","Americium","Actinium","Aluminum","Gadolinium","A"
"Multiple choice","Os","Strontium","Praseodymium","Sodium","Osmium","Oxygen","D"
"Multiple choice","I","Iodine","Indium","Iridium","Iron","Germanium","A"
"Multiple choice","Uuo","Protactinium","Nobelium","Holmium","Ununoctium","Ununseptium","D"
"Multiple choice","H","Helium","Holmium","Hafnium","Hydrogen","Hassium","D"
"Multiple choice","Fm","Californium","Fluorine","Flerovium","Fermium","Francium","D"
"Multiple choice","Mn","Mendelevium","Manganese","Magnesium","Meitnerium","Molybdenum","B"
"Multiple choice","Na","Sodium","Actinium","Carbon","Protactinium","Vanadium","A"
"Multiple choice","Be","Beryllium","Terbium","Bromine","Barium","Berkelium","A"
"Multiple choice","Tb","Thallium","Terbium","Cobalt","Tungsten","Titanium","B"
"Multiple choice","Si","Silicon","Scandium","Selenium","Sodium","Samarium","A"
"Multiple choice","Bh","Berkelium","Bromine","Bismuth","Beryllium","Bohrium","E"
"Multiple choice","Rb","Rhenium","Seaborgium","Rubidium","Berkelium","Bohrium","C"
"Multiple choice","Bk","Beryllium","Bromine","Berkelium","Bismuth","Bohrium","C"
"Multiple choice","Al","Lead","Actinium","Gallium","Aluminum","Thallium","D"
"Multiple choice","Rg","Roentgenium","Germanium","Argon","Rubidium","Radon","A"
"Multiple choice","Pu","Palladium","Plutonium","Polonium","Phosphorus","Platinum","B"
"Multiple choice","V","Flerovium","Silver","Mendelevium","Livermorium","Vanadium","E"
"Multiple choice","Po","Promethium","Phosphorus","Protactinium","Plutonium","Polonium","E"
"Multiple choice","Cu","Copernicium","Cesium","Cerium","Chromium","Copper","E"
"Multiple choice","Ca","Cadmium","Cobalt","Californium","Carbon","Calcium","E"
"Multiple choice","Lv","Lutetium","Livermorium","Lead","Lanthanum","Silver","B"
"Multiple choice","Kr","Radon","Krypton","Strontium","Chromium","Berkelium","B"
"Multiple choice","Tc","Technetium","Titanium","Thallium","Terbium","Tungsten","A"
"Multiple choice","In","Ununseptium","Iron","Indium","Iodine","Ununpentium","C"
"Multiple choice","Sr","Seaborgium","Strontium","Silver","Sulfur","Samarium","B"
"Multiple choice","Tm","Thulium","Tellurium","Terbium","Tantalum","Technetium","A"
"Multiple choice","Uus","Praseodymium","Ununtrium","Seaborgium","Sodium","Ununseptium","E"
"Multiple choice","Ni","Neodymium","Nickel","Nitrogen","Neptunium","Niobium","B"
"Multiple choice","Sg","Scandium","Samarium","Magnesium","Seaborgium","Sodium","D"
"Multiple choice","Co","Chromium","Cobalt","Copper","Carbon","Chlorine","B"
"Multiple choice","Lu","Lanthanum","Lutetium","Livermorium","Lawrencium","Lithium","B"
"Multiple choice","Rn","Roentgenium","Radon","Rhenium","Uranium","Ruthenium","B"
"Multiple choice","Ge","Gold","Gallium","Tungsten","Germanium","Hydrogen","D"
"Multiple choice","Yb","Rubidium","Molybdenum","Beryllium","Ytterbium","Yttrium","D"